texts,labels,responses
I feel really anxious about my exam tomorrow,Anxiety,It's normal to feel anxious before exams. Take deep breaths. Have you prepared well? We can talk about study strategies if you'd like.
My heart is racing and I can't stop worrying,Anxiety,"I hear you. Let's try grounding: Name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, 1 you taste. Feel better?"
I keep having panic attacks,Anxiety,"Panic attacks are scary but they pass. Breathe in for 4 seconds, hold for 4, out for 4. I'm here with you."
I'm worried about everything,Anxiety,Worry can be exhausting. Let's focus on one thing at a time. What's the biggest concern right now?
I feel so empty and hopeless,Depression,I'm sorry you're feeling this way. You're not alone. Have you eaten today? Sometimes small physical needs affect mood.
Nothing makes me happy anymore,Depression,Depression can make everything feel gray. What used to bring you joy? Even small moments matter.
I don't want to get out of bed,Depression,Some days are harder. Can we start with just sitting up? One small step at a time.
Life feels meaningless,Depression,I hear your pain. Would you like to talk about what's making you feel this way? You matter.
I'm so stressed with work,Stress,Work stress is real. When did you last take a break? Even 5 minutes helps reset the mind.
I feel overwhelmed by everything,Stress,Let's break it down. What's one small thing we can handle right now? You don't have to do everything at once.
Too much pressure,Stress,Pressure can be crushing. What's one thing you can let go of today? Self-care isn't selfish.
I don't want to live anymore,Suicidal,"I'm really concerned about you. Please reach out to a crisis helpline: 988 (US) or text HOME to 741741. You matter, and there are people who want to help."
Life isn't worth living,Suicidal,"Your feelings are valid, but please know help is available. Can you reach out to a trusted person right now? Crisis line: 988."
I want to die,Suicidal,I'm here with you. Your safety is important. Please call 988 or go to the nearest emergency room. You're not alone.
I'm feeling okay today,Normal,I'm glad to hear that! What's going well today?
Just checking in,Normal,Thanks for checking in! How are you feeling right now?
I had a good day,Normal,That's wonderful! What made your day good? Let's celebrate those moments.
I'm doing alright,Normal,Good to hear! Anything you'd like to talk about?
I feel so energetic and unstoppable,Bipolar,High energy can be intense. Are you getting enough rest? It might help to track these feelings.
My moods keep swinging wildly,Bipolar,Mood swings are exhausting. Have you been tracking them? A mood diary can help identify patterns.
I struggle with relationships,Personality disorder,Relationships can be challenging. What patterns are you noticing? Therapy can help build stability.
I feel empty and unstable,Personality disorder,Feeling unstable is difficult. DBT therapy can help. Would you like to explore coping skills?
